,SepalLength,SepalWidth,PetalLength,PetalWidth,Species
71,4.7,3.2,1.3,0.2,0
72,6.6,2.9,4.6,1.3,1
73,5.5,3.5,1.3,0.2,0
74,7.7,3,6.1,2.3,2
75,6.1,3,4.9,1.8,2
76,4.9,3.1,1.5,0.1,0
77,5.5,2.4,3.8,1.1,1
78,5.7,2.9,4.2,1.3,1
79,6,2.9,4.5,1.5,1
80,6.4,2.7,5.3,1.9,2
81,5.4,3.7,1.5,0.2,0
82,6.1,2.9,4.7,1.4,1
83,6.5,2.8,4.6,1.5,1
84,5.6,2.7,4.2,1.3,1
85,6.3,3.4,5.6,2.4,2
86,4.9,3.1,1.5,0.1,0
87,6.8,2.8,4.8,1.4,1
88,5.7,2.8,4.5,1.3,1
89,6,2.7,5.1,1.6,1
90,5,3.5,1.3,0.3,0
91,6.5,3,5.2,2,2
92,6.1,2.8,4.7,1.2,1
93,5.1,3.5,1.4,0.3,0
94,4.6,3.1,1.5,0.2,0
95,6.5,3,5.8,2.2,2
96,4.6,3.4,1.4,0.3,0
97,4.6,3.2,1.4,0.2,0
98,7.7,2.8,6.7,2,2
99,5.9,3.2,4.8,1.8,1
100,5.1,3.8,1.6,0.2,0
101,4.9,3,1.4,0.2,0
102,4.9,2.4,3.3,1,1
103,4.5,2.3,1.3,0.3,0
104,5.8,2.7,4.1,1,1
105,5,3.4,1.6,0.4,0
106,5.2,3.4,1.4,0.2,0
107,5.3,3.7,1.5,0.2,0
108,5,3.6,1.4,0.2,0
109,5.6,2.9,3.6,1.3,1
110,4.8,3.1,1.6,0.2,0
111,6.3,2.7,4.9,1.8,2
112,5.7,2.8,4.1,1.3,1
113,5,3,1.6,0.2,0
114,6.3,3.3,6,2.5,2
115,5,3.5,1.6,0.6,0
116,5.5,2.6,4.4,1.2,1
117,5.7,3,4.2,1.2,1
118,4.4,2.9,1.4,0.2,0
119,4.8,3,1.4,0.1,0
120,5.5,2.4,3.7,1,1
121,17,20,12,20,0
122,20,4,3,18,1
123,20,19,8,5,2
124,17,7,9,15,0
125,5,7,9,16,1
126,11,17,18,16,2
127,2,20,13,10,0
128,8,2,5,15,1
129,15,7,18,9,2
130,14,17,13,13,0
131,9,2,3,11,1
132,12,14,8,5,2
133,18,15,3,20,0
134,8,16,18,11,1
135,16,18,3,19,2
136,8,7,12,7,0
137,15,14,10,15,1
138,8,19,1,12,2
139,6,2,12,8,0
140,6,4,11,9,1
